sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs
27-B	27-B	1	27-B_S217_L001_R1_001.fastq.gz	27-B_S217_L001_R2_001.fastq.gz	13656	13656	13429	13429
27-B2	27-B2	1	27-B2_S225_L001_R1_001.fastq.gz	27-B2_S225_L001_R2_001.fastq.gz	26196	26196	25800	25800
27-C	27-C	1	27-C_S407_L001_R1_001.fastq.gz	27-C_S407_L001_R2_001.fastq.gz	29642	29642	29212	29212
27-C2	27-C2	1	27-C2_S415_L001_R1_001.fastq.gz	27-C2_S415_L001_R2_001.fastq.gz	63236	63236	62114	62114
28-A	28-A	1	28-A_S28_L001_R1_001.fastq.gz	28-A_S28_L001_R2_001.fastq.gz	60023	60023	59194	59194
28-A2	28-A2	1	28-A2_S36_L001_R1_001.fastq.gz	28-A2_S36_L001_R2_001.fastq.gz	30370	30370	29904	29904
28-B	28-B	1	28-B_S218_L001_R1_001.fastq.gz	28-B_S218_L001_R2_001.fastq.gz	14976	14976	14758	14758
28-B2	28-B2	1	28-B2_S226_L001_R1_001.fastq.gz	28-B2_S226_L001_R2_001.fastq.gz	20937	20937	20612	20612
28-C	28-C	1	28-C_S408_L001_R1_001.fastq.gz	28-C_S408_L001_R2_001.fastq.gz	23629	23629	23264	23264
28-C2	28-C2	1	28-C2_S416_L001_R1_001.fastq.gz	28-C2_S416_L001_R2_001.fastq.gz	76556	76556	75337	75337
29-A	29-A	1	29-A_S29_L001_R1_001.fastq.gz	29-A_S29_L001_R2_001.fastq.gz	16885	16885	16649	16649
29-A2	29-A2	1	29-A2_S37_L001_R1_001.fastq.gz	29-A2_S37_L001_R2_001.fastq.gz	19076	19076	18778	18778
29-B	29-B	1	29-B_S219_L001_R1_001.fastq.gz	29-B_S219_L001_R2_001.fastq.gz	890	890	852	852
29-B2	29-B2	1	29-B2_S227_L001_R1_001.fastq.gz	29-B2_S227_L001_R2_001.fastq.gz	10090	10090	9921	9921
29-C	29-C	1	29-C_S409_L001_R1_001.fastq.gz	29-C_S409_L001_R2_001.fastq.gz	5128	5128	5051	5051
29-C2	29-C2	1	29-C2_S417_L001_R1_001.fastq.gz	29-C2_S417_L001_R2_001.fastq.gz	13662	13662	13462	13462
3-A	3-A	1	3-A_S3_L001_R1_001.fastq.gz	3-A_S3_L001_R2_001.fastq.gz	27713	27713	27310	27310
3-B	3-B	1	3-B_S193_L001_R1_001.fastq.gz	3-B_S193_L001_R2_001.fastq.gz	25145	25145	24787	24787
3-C	3-C	1	3-C_S383_L001_R1_001.fastq.gz	3-C_S383_L001_R2_001.fastq.gz	40186	40186	39609	39609
30-A	30-A	1	30-A_S30_L001_R1_001.fastq.gz	30-A_S30_L001_R2_001.fastq.gz	38855	38855	38309	38309
30-A2	30-A2	1	30-A2_S38_L001_R1_001.fastq.gz	30-A2_S38_L001_R2_001.fastq.gz	24761	24761	24395	24395
30-B	30-B	1	30-B_S220_L001_R1_001.fastq.gz	30-B_S220_L001_R2_001.fastq.gz	95526	95526	94180	94180
30-B2	30-B2	1	30-B2_S228_L001_R1_001.fastq.gz	30-B2_S228_L001_R2_001.fastq.gz	19963	19963	19649	19649
30-C	30-C	1	30-C_S410_L001_R1_001.fastq.gz	30-C_S410_L001_R2_001.fastq.gz	29411	29411	29001	29001
30-C2	30-C2	1	30-C2_S418_L001_R1_001.fastq.gz	30-C2_S418_L001_R2_001.fastq.gz	67367	67367	65852	65852
31-A	31-A	1	31-A_S31_L001_R1_001.fastq.gz	31-A_S31_L001_R2_001.fastq.gz	40860	40860	40305	40305
31-A2	31-A2	1	31-A2_S39_L001_R1_001.fastq.gz	31-A2_S39_L001_R2_001.fastq.gz	28209	28209	27837	27837
31-B	31-B	1	31-B_S221_L001_R1_001.fastq.gz	31-B_S221_L001_R2_001.fastq.gz	58437	58437	57528	57528
31-B2	31-B2	1	31-B2_S229_L001_R1_001.fastq.gz	31-B2_S229_L001_R2_001.fastq.gz	24165	24165	23825	23825
31-C	31-C	1	31-C_S411_L001_R1_001.fastq.gz	31-C_S411_L001_R2_001.fastq.gz	30166	30166	29762	29762
31-C2	31-C2	1	31-C2_S419_L001_R1_001.fastq.gz	31-C2_S419_L001_R2_001.fastq.gz	152395	152395	150190	150190
32-A	32-A	1	32-A_S32_L001_R1_001.fastq.gz	32-A_S32_L001_R2_001.fastq.gz	40878	40878	40304	40304
32-A2	32-A2	1	32-A2_S40_L001_R1_001.fastq.gz	32-A2_S40_L001_R2_001.fastq.gz	26627	26627	26200	26200
32-B	32-B	1	32-B_S222_L001_R1_001.fastq.gz	32-B_S222_L001_R2_001.fastq.gz	95703	95703	94266	94266
32-B2	32-B2	1	32-B2_S230_L001_R1_001.fastq.gz	32-B2_S230_L001_R2_001.fastq.gz	21433	21433	21101	21101
32-C	32-C	1	32-C_S412_L001_R1_001.fastq.gz	32-C_S412_L001_R2_001.fastq.gz	24518	24518	24133	24133
32-C2	32-C2	1	32-C2_S420_L001_R1_001.fastq.gz	32-C2_S420_L001_R2_001.fastq.gz	68236	68236	67218	67218
33-A	33-A	1	33-A_S41_L001_R1_001.fastq.gz	33-A_S41_L001_R2_001.fastq.gz	13332	13332	13123	13123
33-B	33-B	1	33-B_S231_L001_R1_001.fastq.gz	33-B_S231_L001_R2_001.fastq.gz	18757	18757	18438	18438
33-C	33-C	1	33-C_S421_L001_R1_001.fastq.gz	33-C_S421_L001_R2_001.fastq.gz	18105	18105	17828	17828
34-A	34-A	1	34-A_S42_L001_R1_001.fastq.gz	34-A_S42_L001_R2_001.fastq.gz	18002	18002	17724	17724
34-B	34-B	1	34-B_S232_L001_R1_001.fastq.gz	34-B_S232_L001_R2_001.fastq.gz	36712	36712	36189	36189
34-C	34-C	1	34-C_S422_L001_R1_001.fastq.gz	34-C_S422_L001_R2_001.fastq.gz	31780	31780	31327	31327
35-A	35-A	1	35-A_S43_L001_R1_001.fastq.gz	35-A_S43_L001_R2_001.fastq.gz	20900	20900	20608	20608
35-B	35-B	1	35-B_S233_L001_R1_001.fastq.gz	35-B_S233_L001_R2_001.fastq.gz	27935	27935	27502	27502
35-C	35-C	1	35-C_S423_L001_R1_001.fastq.gz	35-C_S423_L001_R2_001.fastq.gz	35103	35103	34608	34608
36-A	36-A	1	36-A_S44_L001_R1_001.fastq.gz	36-A_S44_L001_R2_001.fastq.gz	17566	17566	17326	17326
36-B	36-B	1	36-B_S234_L001_R1_001.fastq.gz	36-B_S234_L001_R2_001.fastq.gz	1171	1171	1146	1146
36-C	36-C	1	36-C_S424_L001_R1_001.fastq.gz	36-C_S424_L001_R2_001.fastq.gz	7772	7772	7663	7663
37-A	37-A	1	37-A_S45_L001_R1_001.fastq.gz	37-A_S45_L001_R2_001.fastq.gz	4188	4188	4142	4142
37-B	37-B	1	37-B_S235_L001_R1_001.fastq.gz	37-B_S235_L001_R2_001.fastq.gz	2830	2830	2779	2779
37-C	37-C	1	37-C_S425_L001_R1_001.fastq.gz	37-C_S425_L001_R2_001.fastq.gz	9767	9767	9653	9653
38-A	38-A	1	38-A_S46_L001_R1_001.fastq.gz	38-A_S46_L001_R2_001.fastq.gz	25539	25539	25165	25165
38-B	38-B	1	38-B_S236_L001_R1_001.fastq.gz	38-B_S236_L001_R2_001.fastq.gz	16652	16652	16371	16371
38-C	38-C	1	38-C_S426_L001_R1_001.fastq.gz	38-C_S426_L001_R2_001.fastq.gz	27442	27442	27012	27012
39-A	39-A	1	39-A_S47_L001_R1_001.fastq.gz	39-A_S47_L001_R2_001.fastq.gz	15806	15806	15582	15582
39-B	39-B	1	39-B_S237_L001_R1_001.fastq.gz	39-B_S237_L001_R2_001.fastq.gz	22422	22422	22015	22015
39-C	39-C	1	39-C_S427_L001_R1_001.fastq.gz	39-C_S427_L001_R2_001.fastq.gz	23056	23056	22689	22689
4-A	4-A	1	4-A_S4_L001_R1_001.fastq.gz	4-A_S4_L001_R2_001.fastq.gz	70817	70817	69866	69866
4-B	4-B	1	4-B_S194_L001_R1_001.fastq.gz	4-B_S194_L001_R2_001.fastq.gz	74240	74240	73309	73309
4-C	4-C	1	4-C_S384_L001_R1_001.fastq.gz	4-C_S384_L001_R2_001.fastq.gz	66643	66643	65800	65800
40-A	40-A	1	40-A_S48_L001_R1_001.fastq.gz	40-A_S48_L001_R2_001.fastq.gz	30084	30084	29688	29688
40-B	40-B	1	40-B_S238_L001_R1_001.fastq.gz	40-B_S238_L001_R2_001.fastq.gz	30835	30835	30356	30356
40-C	40-C	1	40-C_S428_L001_R1_001.fastq.gz	40-C_S428_L001_R2_001.fastq.gz	26087	26087	25734	25734
41-A	41-A	1	41-A_S49_L001_R1_001.fastq.gz	41-A_S49_L001_R2_001.fastq.gz	16255	16255	16057	16057
41-B	41-B	1	41-B_S239_L001_R1_001.fastq.gz	41-B_S239_L001_R2_001.fastq.gz	5793	5793	5700	5700
41-C	41-C	1	41-C_S429_L001_R1_001.fastq.gz	41-C_S429_L001_R2_001.fastq.gz	40849	40849	40320	40320
42-A	42-A	1	42-A_S50_L001_R1_001.fastq.gz	42-A_S50_L001_R2_001.fastq.gz	16349	16349	16112	16112
42-B	42-B	1	42-B_S240_L001_R1_001.fastq.gz	42-B_S240_L001_R2_001.fastq.gz	67415	67415	66427	66427
42-C	42-C	1	42-C_S430_L001_R1_001.fastq.gz	42-C_S430_L001_R2_001.fastq.gz	14898	14898	14677	14677
43-A	43-A	1	43-A_S51_L001_R1_001.fastq.gz	43-A_S51_L001_R2_001.fastq.gz	6275	6275	6104	6104
43-B	43-B	1	43-B_S241_L001_R1_001.fastq.gz	43-B_S241_L001_R2_001.fastq.gz	705	705	633	633
43-C	43-C	1	43-C_S431_L001_R1_001.fastq.gz	43-C_S431_L001_R2_001.fastq.gz	11872	11872	11646	11646
44-A	44-A	1	44-A_S52_L001_R1_001.fastq.gz	44-A_S52_L001_R2_001.fastq.gz	18940	18940	18688	18688
44-B	44-B	1	44-B_S242_L001_R1_001.fastq.gz	44-B_S242_L001_R2_001.fastq.gz	642	642	631	631
44-C	44-C	1	44-C_S432_L001_R1_001.fastq.gz	44-C_S432_L001_R2_001.fastq.gz	25872	25872	25499	25499
