sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2
62-A	62-A	1	62-A_S70_L001_R1_001.fastq.gz	62-A_S70_L001_R2_001.fastq.gz	63803	63803
62-B	62-B	1	62-B_S260_L001_R1_001.fastq.gz	62-B_S260_L001_R2_001.fastq.gz	17161	17161
62-C	62-C	1	62-C_S450_L001_R1_001.fastq.gz	62-C_S450_L001_R2_001.fastq.gz	22067	22067
63-A	63-A	1	63-A_S71_L001_R1_001.fastq.gz	63-A_S71_L001_R2_001.fastq.gz	43557	43557
63-B	63-B	1	63-B_S261_L001_R1_001.fastq.gz	63-B_S261_L001_R2_001.fastq.gz	20432	20432
63-C	63-C	1	63-C_S451_L001_R1_001.fastq.gz	63-C_S451_L001_R2_001.fastq.gz	17600	17600
64-A	64-A	1	64-A_S72_L001_R1_001.fastq.gz	64-A_S72_L001_R2_001.fastq.gz	14185	14185
64-B	64-B	1	64-B_S262_L001_R1_001.fastq.gz	64-B_S262_L001_R2_001.fastq.gz	681	681
64-C	64-C	1	64-C_S452_L001_R1_001.fastq.gz	64-C_S452_L001_R2_001.fastq.gz	6796	6796
65-A	65-A	1	65-A_S73_L001_R1_001.fastq.gz	65-A_S73_L001_R2_001.fastq.gz	17698	17698
65-B	65-B	1	65-B_S263_L001_R1_001.fastq.gz	65-B_S263_L001_R2_001.fastq.gz	12055	12055
65-C	65-C	1	65-C_S453_L001_R1_001.fastq.gz	65-C_S453_L001_R2_001.fastq.gz	16907	16907
66-A	66-A	1	66-A_S74_L001_R1_001.fastq.gz	66-A_S74_L001_R2_001.fastq.gz	20159	20159
66-B	66-B	1	66-B_S264_L001_R1_001.fastq.gz	66-B_S264_L001_R2_001.fastq.gz	12373	12373
66-C	66-C	1	66-C_S454_L001_R1_001.fastq.gz	66-C_S454_L001_R2_001.fastq.gz	24246	24246
67-A	67-A	1	67-A_S75_L001_R1_001.fastq.gz	67-A_S75_L001_R2_001.fastq.gz	21377	21377
67-B	67-B	1	67-B_S265_L001_R1_001.fastq.gz	67-B_S265_L001_R2_001.fastq.gz	18338	18338
67-C	67-C	1	67-C_S455_L001_R1_001.fastq.gz	67-C_S455_L001_R2_001.fastq.gz	26308	26308
68-A	68-A	1	68-A_S76_L001_R1_001.fastq.gz	68-A_S76_L001_R2_001.fastq.gz	21483	21483
68-B	68-B	1	68-B_S266_L001_R1_001.fastq.gz	68-B_S266_L001_R2_001.fastq.gz	13546	13546
68-C	68-C	1	68-C_S456_L001_R1_001.fastq.gz	68-C_S456_L001_R2_001.fastq.gz	40715	40715
69-A	69-A	1	69-A_S77_L001_R1_001.fastq.gz	69-A_S77_L001_R2_001.fastq.gz	19980	19980
69-B	69-B	1	69-B_S267_L001_R1_001.fastq.gz	69-B_S267_L001_R2_001.fastq.gz	18453	18453
69-C	69-C	1	69-C_S457_L001_R1_001.fastq.gz	69-C_S457_L001_R2_001.fastq.gz	28852	28852
7-A	7-A	1	7-A_S7_L001_R1_001.fastq.gz	7-A_S7_L001_R2_001.fastq.gz	9356	9356
7-B	7-B	1	7-B_S197_L001_R1_001.fastq.gz	7-B_S197_L001_R2_001.fastq.gz	12275	12275
7-C	7-C	1	7-C_S387_L001_R1_001.fastq.gz	7-C_S387_L001_R2_001.fastq.gz	19527	19527
70-A	70-A	1	70-A_S78_L001_R1_001.fastq.gz	70-A_S78_L001_R2_001.fastq.gz	23388	23388
70-B	70-B	1	70-B_S268_L001_R1_001.fastq.gz	70-B_S268_L001_R2_001.fastq.gz	25794	25794
70-C	70-C	1	70-C_S458_L001_R1_001.fastq.gz	70-C_S458_L001_R2_001.fastq.gz	27136	27136
71-A	71-A	1	71-A_S79_L001_R1_001.fastq.gz	71-A_S79_L001_R2_001.fastq.gz	3480	3480
71-B	71-B	1	71-B_S269_L001_R1_001.fastq.gz	71-B_S269_L001_R2_001.fastq.gz	3142	3142
71-C	71-C	1	71-C_S459_L001_R1_001.fastq.gz	71-C_S459_L001_R2_001.fastq.gz	11142	11142
72-A	72-A	1	72-A_S80_L001_R1_001.fastq.gz	72-A_S80_L001_R2_001.fastq.gz	21060	21060
72-B	72-B	1	72-B_S270_L001_R1_001.fastq.gz	72-B_S270_L001_R2_001.fastq.gz	15481	15481
72-C	72-C	1	72-C_S460_L001_R1_001.fastq.gz	72-C_S460_L001_R2_001.fastq.gz	33722	33722
73-A	73-A	1	73-A_S81_L001_R1_001.fastq.gz	73-A_S81_L001_R2_001.fastq.gz	20994	20994
73-B	73-B	1	73-B_S271_L001_R1_001.fastq.gz	73-B_S271_L001_R2_001.fastq.gz	11233	11233
73-C	73-C	1	73-C_S461_L001_R1_001.fastq.gz	73-C_S461_L001_R2_001.fastq.gz	15773	15773
74-A	74-A	1	74-A_S82_L001_R1_001.fastq.gz	74-A_S82_L001_R2_001.fastq.gz	17910	17910
74-B	74-B	1	74-B_S272_L001_R1_001.fastq.gz	74-B_S272_L001_R2_001.fastq.gz	20160	20160
74-C	74-C	1	74-C_S462_L001_R1_001.fastq.gz	74-C_S462_L001_R2_001.fastq.gz	21944	21944
75-A	75-A	1	75-A_S83_L001_R1_001.fastq.gz	75-A_S83_L001_R2_001.fastq.gz	30293	30293
75-B	75-B	1	75-B_S273_L001_R1_001.fastq.gz	75-B_S273_L001_R2_001.fastq.gz	21342	21342
75-C	75-C	1	75-C_S463_L001_R1_001.fastq.gz	75-C_S463_L001_R2_001.fastq.gz	26624	26624
76-A	76-A	1	76-A_S84_L001_R1_001.fastq.gz	76-A_S84_L001_R2_001.fastq.gz	28523	28523
76-B	76-B	1	76-B_S274_L001_R1_001.fastq.gz	76-B_S274_L001_R2_001.fastq.gz	24857	24857
76-C	76-C	1	76-C_S464_L001_R1_001.fastq.gz	76-C_S464_L001_R2_001.fastq.gz	23628	23628
77-A	77-A	1	77-A_S85_L001_R1_001.fastq.gz	77-A_S85_L001_R2_001.fastq.gz	23040	23040
77-B	77-B	1	77-B_S275_L001_R1_001.fastq.gz	77-B_S275_L001_R2_001.fastq.gz	89183	89183
77-C	77-C	1	77-C_S465_L001_R1_001.fastq.gz	77-C_S465_L001_R2_001.fastq.gz	25723	25723
78-A	78-A	1	78-A_S86_L001_R1_001.fastq.gz	78-A_S86_L001_R2_001.fastq.gz	6641	6641
78-B	78-B	1	78-B_S276_L001_R1_001.fastq.gz	78-B_S276_L001_R2_001.fastq.gz	11648	11648
78-C	78-C	1	78-C_S466_L001_R1_001.fastq.gz	78-C_S466_L001_R2_001.fastq.gz	4889	4889
79-A	79-A	1	79-A_S87_L001_R1_001.fastq.gz	79-A_S87_L001_R2_001.fastq.gz	27631	27631
79-B	79-B	1	79-B_S277_L001_R1_001.fastq.gz	79-B_S277_L001_R2_001.fastq.gz	51411	51411
79-C	79-C	1	79-C_S467_L001_R1_001.fastq.gz	79-C_S467_L001_R2_001.fastq.gz	25549	25549
8-A	8-A	1	8-A_S8_L001_R1_001.fastq.gz	8-A_S8_L001_R2_001.fastq.gz	49563	49563
8-B	8-B	1	8-B_S198_L001_R1_001.fastq.gz	8-B_S198_L001_R2_001.fastq.gz	1942	1942
8-C	8-C	1	8-C_S388_L001_R1_001.fastq.gz	8-C_S388_L001_R2_001.fastq.gz	57451	57451
80-A	80-A	1	80-A_S88_L001_R1_001.fastq.gz	80-A_S88_L001_R2_001.fastq.gz	31523	31523
80-B	80-B	1	80-B_S278_L001_R1_001.fastq.gz	80-B_S278_L001_R2_001.fastq.gz	51844	51844
80-C	80-C	1	80-C_S468_L001_R1_001.fastq.gz	80-C_S468_L001_R2_001.fastq.gz	22126	22126
81-A	81-A	1	81-A_S89_L001_R1_001.fastq.gz	81-A_S89_L001_R2_001.fastq.gz	29214	29214
81-B	81-B	1	81-B_S279_L001_R1_001.fastq.gz	81-B_S279_L001_R2_001.fastq.gz	10009	10009
81-C	81-C	1	81-C_S469_L001_R1_001.fastq.gz	81-C_S469_L001_R2_001.fastq.gz	16941	16941
82-A	82-A	1	82-A_S90_L001_R1_001.fastq.gz	82-A_S90_L001_R2_001.fastq.gz	22432	22432
82-B	82-B	1	82-B_S280_L001_R1_001.fastq.gz	82-B_S280_L001_R2_001.fastq.gz	20404	20404
82-C	82-C	1	82-C_S470_L001_R1_001.fastq.gz	82-C_S470_L001_R2_001.fastq.gz	20538	20538
83-A	83-A	1	83-A_S91_L001_R1_001.fastq.gz	83-A_S91_L001_R2_001.fastq.gz	30249	30249
83-B	83-B	1	83-B_S281_L001_R1_001.fastq.gz	83-B_S281_L001_R2_001.fastq.gz	16861	16861
83-C	83-C	1	83-C_S471_L001_R1_001.fastq.gz	83-C_S471_L001_R2_001.fastq.gz	22283	22283
84-A	84-A	1	84-A_S92_L001_R1_001.fastq.gz	84-A_S92_L001_R2_001.fastq.gz	33890	33890
84-B	84-B	1	84-B_S282_L001_R1_001.fastq.gz	84-B_S282_L001_R2_001.fastq.gz	24774	24774
84-C	84-C	1	84-C_S472_L001_R1_001.fastq.gz	84-C_S472_L001_R2_001.fastq.gz	23142	23142
85-A	85-A	1	85-A_S93_L001_R1_001.fastq.gz	85-A_S93_L001_R2_001.fastq.gz	4909	4909
85-B	85-B	1	85-B_S283_L001_R1_001.fastq.gz	85-B_S283_L001_R2_001.fastq.gz	853	853
85-C	85-C	1	85-C_S473_L001_R1_001.fastq.gz	85-C_S473_L001_R2_001.fastq.gz	5476	5476
86-A	86-A	1	86-A_S97_L001_R1_001.fastq.gz	86-A_S97_L001_R2_001.fastq.gz	17816	17816
86-B	86-B	1	86-B_S287_L001_R1_001.fastq.gz	86-B_S287_L001_R2_001.fastq.gz	10998	10998
86-C	86-C	1	86-C_S477_L001_R1_001.fastq.gz	86-C_S477_L001_R2_001.fastq.gz	49588	49588
87-A	87-A	1	87-A_S98_L001_R1_001.fastq.gz	87-A_S98_L001_R2_001.fastq.gz	60613	60613
87-B	87-B	1	87-B_S288_L001_R1_001.fastq.gz	87-B_S288_L001_R2_001.fastq.gz	32988	32988
87-C	87-C	1	87-C_S478_L001_R1_001.fastq.gz	87-C_S478_L001_R2_001.fastq.gz	57182	57182
88-A	88-A	1	88-A_S99_L001_R1_001.fastq.gz	88-A_S99_L001_R2_001.fastq.gz	8148	8148
88-B	88-B	1	88-B_S289_L001_R1_001.fastq.gz	88-B_S289_L001_R2_001.fastq.gz	21904	21904
88-C	88-C	1	88-C_S479_L001_R1_001.fastq.gz	88-C_S479_L001_R2_001.fastq.gz	65506	65506
89-A	89-A	1	89-A_S100_L001_R1_001.fastq.gz	89-A_S100_L001_R2_001.fastq.gz	12607	12607
89-B	89-B	1	89-B_S290_L001_R1_001.fastq.gz	89-B_S290_L001_R2_001.fastq.gz	43073	43073
89-C	89-C	1	89-C_S480_L001_R1_001.fastq.gz	89-C_S480_L001_R2_001.fastq.gz	26260	26260
9-A	9-A	1	9-A_S9_L001_R1_001.fastq.gz	9-A_S9_L001_R2_001.fastq.gz	22857	22857
9-B	9-B	1	9-B_S199_L001_R1_001.fastq.gz	9-B_S199_L001_R2_001.fastq.gz	13057	13057
9-C	9-C	1	9-C_S389_L001_R1_001.fastq.gz	9-C_S389_L001_R2_001.fastq.gz	62183	62183
90-A	90-A	1	90-A_S101_L001_R1_001.fastq.gz	90-A_S101_L001_R2_001.fastq.gz	13333	13333
90-B	90-B	1	90-B_S291_L001_R1_001.fastq.gz	90-B_S291_L001_R2_001.fastq.gz	23129	23129
90-C	90-C	1	90-C_S481_L001_R1_001.fastq.gz	90-C_S481_L001_R2_001.fastq.gz	31349	31349
91-A	91-A	1	91-A_S102_L001_R1_001.fastq.gz	91-A_S102_L001_R2_001.fastq.gz	25367	25367
91-B	91-B	1	91-B_S292_L001_R1_001.fastq.gz	91-B_S292_L001_R2_001.fastq.gz	48259	48259
91-C	91-C	1	91-C_S482_L001_R1_001.fastq.gz	91-C_S482_L001_R2_001.fastq.gz	22569	22569
92-A	92-A	1	92-A_S103_L001_R1_001.fastq.gz	92-A_S103_L001_R2_001.fastq.gz	3312	3312
92-B	92-B	1	92-B_S293_L001_R1_001.fastq.gz	92-B_S293_L001_R2_001.fastq.gz	6120	6120
92-C	92-C	1	92-C_S483_L001_R1_001.fastq.gz	92-C_S483_L001_R2_001.fastq.gz	14845	14845
93-A	93-A	1	93-A_S104_L001_R1_001.fastq.gz	93-A_S104_L001_R2_001.fastq.gz	8024	8024
93-B	93-B	1	93-B_S294_L001_R1_001.fastq.gz	93-B_S294_L001_R2_001.fastq.gz	40397	40397
93-C	93-C	1	93-C_S484_L001_R1_001.fastq.gz	93-C_S484_L001_R2_001.fastq.gz	32584	32584
94-A	94-A	1	94-A_S105_L001_R1_001.fastq.gz	94-A_S105_L001_R2_001.fastq.gz	14774	14774
94-B	94-B	1	94-B_S295_L001_R1_001.fastq.gz	94-B_S295_L001_R2_001.fastq.gz	9160	9160
94-C	94-C	1	94-C_S485_L001_R1_001.fastq.gz	94-C_S485_L001_R2_001.fastq.gz	120479	120479
95-A	95-A	1	95-A_S106_L001_R1_001.fastq.gz	95-A_S106_L001_R2_001.fastq.gz	30334	30334
95-B	95-B	1	95-B_S296_L001_R1_001.fastq.gz	95-B_S296_L001_R2_001.fastq.gz	13803	13803
95-C	95-C	1	95-C_S486_L001_R1_001.fastq.gz	95-C_S486_L001_R2_001.fastq.gz	89065	89065
96-A	96-A	1	96-A_S107_L001_R1_001.fastq.gz	96-A_S107_L001_R2_001.fastq.gz	31380	31380
96-B	96-B	1	96-B_S297_L001_R1_001.fastq.gz	96-B_S297_L001_R2_001.fastq.gz	13909	13909
96-C	96-C	1	96-C_S487_L001_R1_001.fastq.gz	96-C_S487_L001_R2_001.fastq.gz	74497	74497
97-A	97-A	1	97-A_S108_L001_R1_001.fastq.gz	97-A_S108_L001_R2_001.fastq.gz	33233	33233
97-B	97-B	1	97-B_S298_L001_R1_001.fastq.gz	97-B_S298_L001_R2_001.fastq.gz	15394	15394
97-C	97-C	1	97-C_S488_L001_R1_001.fastq.gz	97-C_S488_L001_R2_001.fastq.gz	63764	63764
98-A	98-A	1	98-A_S109_L001_R1_001.fastq.gz	98-A_S109_L001_R2_001.fastq.gz	204632	204632
98-B	98-B	1	98-B_S299_L001_R1_001.fastq.gz	98-B_S299_L001_R2_001.fastq.gz	9927	9927
98-C	98-C	1	98-C_S489_L001_R1_001.fastq.gz	98-C_S489_L001_R2_001.fastq.gz	72897	72897
99-A	99-A	1	99-A_S110_L001_R1_001.fastq.gz	99-A_S110_L001_R2_001.fastq.gz	6522	6522
99-B	99-B	1	99-B_S300_L001_R1_001.fastq.gz	99-B_S300_L001_R2_001.fastq.gz	3722	3722
99-C	99-C	1	99-C_S490_L001_R1_001.fastq.gz	99-C_S490_L001_R2_001.fastq.gz	8949	8949
H2O1-A	H2O1-A	1	H2O1-A_S94_L001_R1_001.fastq.gz	H2O1-A_S94_L001_R2_001.fastq.gz	10488	10488
H2O1-B	H2O1-B	1	H2O1-B_S284_L001_R1_001.fastq.gz	H2O1-B_S284_L001_R2_001.fastq.gz	13790	13790
H2O1-C	H2O1-C	1	H2O1-C_S474_L001_R1_001.fastq.gz	H2O1-C_S474_L001_R2_001.fastq.gz	3516	3516
H2O2-A	H2O2-A	1	H2O2-A_S95_L001_R1_001.fastq.gz	H2O2-A_S95_L001_R2_001.fastq.gz	807	807
H2O2-B	H2O2-B	1	H2O2-B_S285_L001_R1_001.fastq.gz	H2O2-B_S285_L001_R2_001.fastq.gz	4254	4254
H2O2-C	H2O2-C	1	H2O2-C_S475_L001_R1_001.fastq.gz	H2O2-C_S475_L001_R2_001.fastq.gz	22833	22833
H2O3-A	H2O3-A	1	H2O3-A_S188_L001_R1_001.fastq.gz	H2O3-A_S188_L001_R2_001.fastq.gz	5101	5101
H2O3-B	H2O3-B	1	H2O3-B_S378_L001_R1_001.fastq.gz	H2O3-B_S378_L001_R2_001.fastq.gz	1097	1097
H2O3-C	H2O3-C	1	H2O3-C_S568_L001_R1_001.fastq.gz	H2O3-C_S568_L001_R2_001.fastq.gz	5687	5687
H2O4-A	H2O4-A	1	H2O4-A_S189_L001_R1_001.fastq.gz	H2O4-A_S189_L001_R2_001.fastq.gz	3096	3096
H2O4-B	H2O4-B	1	H2O4-B_S379_L001_R1_001.fastq.gz	H2O4-B_S379_L001_R2_001.fastq.gz	621	621
H2O4-C	H2O4-C	1	H2O4-C_S569_L001_R1_001.fastq.gz	H2O4-C_S569_L001_R2_001.fastq.gz	28144	28144
STURG1-A	STURG1-A	1	STURG1-A_S96_L001_R1_001.fastq.gz	STURG1-A_S96_L001_R2_001.fastq.gz	27356	27356
STURG1-B	STURG1-B	1	STURG1-B_S286_L001_R1_001.fastq.gz	STURG1-B_S286_L001_R2_001.fastq.gz	24630	24630
STURG1-C	STURG1-C	1	STURG1-C_S476_L001_R1_001.fastq.gz	STURG1-C_S476_L001_R2_001.fastq.gz	6138	6138
STURG2-A	STURG2-A	1	STURG2-A_S190_L001_R1_001.fastq.gz	STURG2-A_S190_L001_R2_001.fastq.gz	10743	10743
STURG2-B	STURG2-B	1	STURG2-B_S380_L001_R1_001.fastq.gz	STURG2-B_S380_L001_R2_001.fastq.gz	18326	18326
STURG2-C	STURG2-C	1	STURG2-C_S570_L001_R1_001.fastq.gz	STURG2-C_S570_L001_R2_001.fastq.gz	6667	6667
