sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2
176-B	176-B	1	176-B_S377_L001_R1_001.fastq.gz	176-B_S377_L001_R2_001.fastq.gz	8754	8754
176-C	176-C	1	176-C_S567_L001_R1_001.fastq.gz	176-C_S567_L001_R2_001.fastq.gz	4852	4852
18-A	18-A	1	18-A_S18_L001_R1_001.fastq.gz	18-A_S18_L001_R2_001.fastq.gz	32509	32509
18-B	18-B	1	18-B_S208_L001_R1_001.fastq.gz	18-B_S208_L001_R2_001.fastq.gz	32635	32635
18-C	18-C	1	18-C_S398_L001_R1_001.fastq.gz	18-C_S398_L001_R2_001.fastq.gz	26124	26124
19-A	19-A	1	19-A_S19_L001_R1_001.fastq.gz	19-A_S19_L001_R2_001.fastq.gz	20409	20409
19-B	19-B	1	19-B_S209_L001_R1_001.fastq.gz	19-B_S209_L001_R2_001.fastq.gz	34401	34401
19-C	19-C	1	19-C_S399_L001_R1_001.fastq.gz	19-C_S399_L001_R2_001.fastq.gz	33957	33957
2-A	2-A	1	2-A_S2_L001_R1_001.fastq.gz	2-A_S2_L001_R2_001.fastq.gz	46852	46852
2-B	2-B	1	2-B_S192_L001_R1_001.fastq.gz	2-B_S192_L001_R2_001.fastq.gz	21642	21642
2-C	2-C	1	2-C_S382_L001_R1_001.fastq.gz	2-C_S382_L001_R2_001.fastq.gz	56788	56788
20-A	20-A	1	20-A_S20_L001_R1_001.fastq.gz	20-A_S20_L001_R2_001.fastq.gz	18294	18294
20-B	20-B	1	20-B_S210_L001_R1_001.fastq.gz	20-B_S210_L001_R2_001.fastq.gz	20284	20284
20-C	20-C	1	20-C_S400_L001_R1_001.fastq.gz	20-C_S400_L001_R2_001.fastq.gz	31414	31414
21-A	21-A	1	21-A_S21_L001_R1_001.fastq.gz	21-A_S21_L001_R2_001.fastq.gz	18779	18779
21-B	21-B	1	21-B_S211_L001_R1_001.fastq.gz	21-B_S211_L001_R2_001.fastq.gz	17677	17677
21-C	21-C	1	21-C_S401_L001_R1_001.fastq.gz	21-C_S401_L001_R2_001.fastq.gz	24408	24408
22-A	22-A	1	22-A_S22_L001_R1_001.fastq.gz	22-A_S22_L001_R2_001.fastq.gz	7926	7926
22-B	22-B	1	22-B_S212_L001_R1_001.fastq.gz	22-B_S212_L001_R2_001.fastq.gz	5884	5884
22-C	22-C	1	22-C_S402_L001_R1_001.fastq.gz	22-C_S402_L001_R2_001.fastq.gz	4997	4997
23-A	23-A	1	23-A_S23_L001_R1_001.fastq.gz	23-A_S23_L001_R2_001.fastq.gz	32255	32255
23-B	23-B	1	23-B_S213_L001_R1_001.fastq.gz	23-B_S213_L001_R2_001.fastq.gz	27784	27784
23-C	23-C	1	23-C_S403_L001_R1_001.fastq.gz	23-C_S403_L001_R2_001.fastq.gz	35020	35020
24-A	24-A	1	24-A_S24_L001_R1_001.fastq.gz	24-A_S24_L001_R2_001.fastq.gz	40902	40902
