sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_merged	reads_tabled	reads_chimera_checked	reads_tax.length_filtered
11-A	11-A	1	11-A_S11_L001_R1_001.fastq.gz	11-A_S11_L001_R2_001.fastq.gz	9354	9354	9225	9225	490	490	243	243	243	0
11-B	11-B	1	11-B_S201_L001_R1_001.fastq.gz	11-B_S201_L001_R2_001.fastq.gz	8962	8962	8806	8806	411	411	199	199	199	0
11-C	11-C	1	11-C_S391_L001_R1_001.fastq.gz	11-C_S391_L001_R2_001.fastq.gz	10720	10720	10528	10528	538	538	116	116	116	0
110-A	110-A	1	110-A_S121_L001_R1_001.fastq.gz	110-A_S121_L001_R2_001.fastq.gz	26193	26193	25788	25788	25405	25405	23559	23559	22560	0
110-B	110-B	1	110-B_S311_L001_R1_001.fastq.gz	110-B_S311_L001_R2_001.fastq.gz	27201	27201	26804	26804	26480	26480	25597	25597	24434	0
110-C	110-C	1	110-C_S501_L001_R1_001.fastq.gz	110-C_S501_L001_R2_001.fastq.gz	56819	56819	56293	56293	25746	25746	14304	14304	13917	0
111-A	111-A	1	111-A_S122_L001_R1_001.fastq.gz	111-A_S122_L001_R2_001.fastq.gz	29846	29846	29442	29442	28745	28745	26192	26192	24823	0
111-B	111-B	1	111-B_S312_L001_R1_001.fastq.gz	111-B_S312_L001_R2_001.fastq.gz	35351	35351	34758	34758	34380	34380	33007	33007	30962	0
111-C	111-C	1	111-C_S502_L001_R1_001.fastq.gz	111-C_S502_L001_R2_001.fastq.gz	108183	108183	106679	106679	99826	99826	66528	66528	61972	0
112-A	112-A	1	112-A_S123_L001_R1_001.fastq.gz	112-A_S123_L001_R2_001.fastq.gz	27839	27839	27418	27418	27073	27073	25230	25230	23996	0
112-B	112-B	1	112-B_S313_L001_R1_001.fastq.gz	112-B_S313_L001_R2_001.fastq.gz	33639	33639	33092	33092	32747	32747	31690	31690	29843	0
112-C	112-C	1	112-C_S503_L001_R1_001.fastq.gz	112-C_S503_L001_R2_001.fastq.gz	104718	104718	103117	103117	99399	99399	64418	64418	60123	0
113-A	113-A	1	113-A_S124_L001_R1_001.fastq.gz	113-A_S124_L001_R2_001.fastq.gz	8079	8079	7953	7953	737	737	546	546	546	0
113-B	113-B	1	113-B_S314_L001_R1_001.fastq.gz	113-B_S314_L001_R2_001.fastq.gz	676	676	665	665	545	545	443	443	443	0
113-C	113-C	1	113-C_S504_L001_R1_001.fastq.gz	113-C_S504_L001_R2_001.fastq.gz	22569	22569	22233	22233	1031	1031	484	484	484	0
114-A	114-A	1	114-A_S125_L001_R1_001.fastq.gz	114-A_S125_L001_R2_001.fastq.gz	55824	55824	54954	54954	54439	54439	49630	49630	48761	0
114-B	114-B	1	114-B_S315_L001_R1_001.fastq.gz	114-B_S315_L001_R2_001.fastq.gz	27786	27786	27340	27340	27038	27038	26328	26328	25903	0
114-C	114-C	1	114-C_S505_L001_R1_001.fastq.gz	114-C_S505_L001_R2_001.fastq.gz	116039	116039	114271	114271	109847	109847	68748	68748	67395	0
115-A	115-A	1	115-A_S126_L001_R1_001.fastq.gz	115-A_S126_L001_R2_001.fastq.gz	25636	25636	25193	25193	24847	24847	22035	22035	21653	0
115-B	115-B	1	115-B_S316_L001_R1_001.fastq.gz	115-B_S316_L001_R2_001.fastq.gz	33531	33531	32982	32982	32583	32583	30398	30398	29377	0
115-C	115-C	1	115-C_S506_L001_R1_001.fastq.gz	115-C_S506_L001_R2_001.fastq.gz	55762	55762	54869	54869	53375	53375	33408	33408	32844	0
116-A	116-A	1	116-A_S127_L001_R1_001.fastq.gz	116-A_S127_L001_R2_001.fastq.gz	37070	37070	36220	36220	35641	35641	31632	31632	30943	0
116-B	116-B	1	116-B_S317_L001_R1_001.fastq.gz	116-B_S317_L001_R2_001.fastq.gz	51119	51119	50362	50362	49753	49753	47178	47178	46323	0
116-C	116-C	1	116-C_S507_L001_R1_001.fastq.gz	116-C_S507_L001_R2_001.fastq.gz	40040	40040	39472	39472	36898	36898	22966	22966	22520	0
117-A	117-A	1	117-A_S128_L001_R1_001.fastq.gz	117-A_S128_L001_R2_001.fastq.gz	88835	88835	87420	87420	86432	86432	79994	79994	77166	0
117-B	117-B	1	117-B_S318_L001_R1_001.fastq.gz	117-B_S318_L001_R2_001.fastq.gz	2218	2218	2172	2172	2087	2087	1825	1825	1825	0
117-C	117-C	1	117-C_S508_L001_R1_001.fastq.gz	117-C_S508_L001_R2_001.fastq.gz	38466	38466	37931	37931	35086	35086	26082	26082	25588	0
118-A	118-A	1	118-A_S129_L001_R1_001.fastq.gz	118-A_S129_L001_R2_001.fastq.gz	46600	46600	45915	45915	45347	45347	41893	41893	40779	0
118-B	118-B	1	118-B_S319_L001_R1_001.fastq.gz	118-B_S319_L001_R2_001.fastq.gz	24878	24878	24451	24451	24172	24172	23526	23526	22977	0
118-C	118-C	1	118-C_S509_L001_R1_001.fastq.gz	118-C_S509_L001_R2_001.fastq.gz	31462	31462	31079	31079	28343	28343	17272	17272	16605	0
119-A	119-A	1	119-A_S130_L001_R1_001.fastq.gz	119-A_S130_L001_R2_001.fastq.gz	44905	44905	44195	44195	43841	43841	41116	41116	40411	0
119-B	119-B	1	119-B_S320_L001_R1_001.fastq.gz	119-B_S320_L001_R2_001.fastq.gz	15721	15721	15476	15476	15324	15324	15012	15012	14733	0
119-C	119-C	1	119-C_S510_L001_R1_001.fastq.gz	119-C_S510_L001_R2_001.fastq.gz	24984	24984	24590	24590	23382	23382	17504	17504	17120	0
12-A	12-A	1	12-A_S12_L001_R1_001.fastq.gz	12-A_S12_L001_R2_001.fastq.gz	29675	29675	29262	29262	28004	28004	25716	25716	25659	0
12-B	12-B	1	12-B_S202_L001_R1_001.fastq.gz	12-B_S202_L001_R2_001.fastq.gz	17815	17815	17510	17510	15366	15366	14405	14405	14399	0
12-C	12-C	1	12-C_S392_L001_R1_001.fastq.gz	12-C_S392_L001_R2_001.fastq.gz	90828	90828	89520	89520	87869	87869	73165	73165	72455	0
120-A	120-A	1	120-A_S131_L001_R1_001.fastq.gz	120-A_S131_L001_R2_001.fastq.gz	8739	8739	8586	8586	646	646	416	416	416	0
120-B	120-B	1	120-B_S321_L001_R1_001.fastq.gz	120-B_S321_L001_R2_001.fastq.gz	4520	4520	4449	4449	495	495	379	379	379	0
120-C	120-C	1	120-C_S511_L001_R1_001.fastq.gz	120-C_S511_L001_R2_001.fastq.gz	6251	6251	6149	6149	759	759	430	430	430	0
121-A	121-A	1	121-A_S132_L001_R1_001.fastq.gz	121-A_S132_L001_R2_001.fastq.gz	39763	39763	39123	39123	38547	38547	28959	28959	28698	0
121-B	121-B	1	121-B_S322_L001_R1_001.fastq.gz	121-B_S322_L001_R2_001.fastq.gz	19028	19028	18749	18749	18520	18520	17170	17170	16942	0
121-C	121-C	1	121-C_S512_L001_R1_001.fastq.gz	121-C_S512_L001_R2_001.fastq.gz	33438	33438	32959	32959	30413	30413	13653	13653	13372	0
122-A	122-A	1	122-A_S133_L001_R1_001.fastq.gz	122-A_S133_L001_R2_001.fastq.gz	50141	50141	49422	49422	48185	48185	37263	37263	36514	0
122-B	122-B	1	122-B_S323_L001_R1_001.fastq.gz	122-B_S323_L001_R2_001.fastq.gz	24050	24050	23706	23706	23146	23146	21265	21265	20823	0
122-C	122-C	1	122-C_S513_L001_R1_001.fastq.gz	122-C_S513_L001_R2_001.fastq.gz	32078	32078	31491	31491	21388	21388	12564	12564	12466	0
123-A	123-A	1	123-A_S134_L001_R1_001.fastq.gz	123-A_S134_L001_R2_001.fastq.gz	58332	58332	57476	57476	56204	56204	47032	47032	46188	0
123-B	123-B	1	123-B_S324_L001_R1_001.fastq.gz	123-B_S324_L001_R2_001.fastq.gz	15893	15893	15618	15618	15361	15361	14342	14342	14243	0
123-C	123-C	1	123-C_S514_L001_R1_001.fastq.gz	123-C_S514_L001_R2_001.fastq.gz	37664	37664	37134	37134	35175	35175	16994	16994	16504	0
124-A	124-A	1	124-A_S135_L001_R1_001.fastq.gz	124-A_S135_L001_R2_001.fastq.gz	716	716	700	700	600	600	394	394	394	0
124-B	124-B	1	124-B_S325_L001_R1_001.fastq.gz	124-B_S325_L001_R2_001.fastq.gz	30206	30206	29747	29747	29436	29436	28475	28475	27812	0
124-C	124-C	1	124-C_S515_L001_R1_001.fastq.gz	124-C_S515_L001_R2_001.fastq.gz	37338	37338	36774	36774	36043	36043	30428	30428	29693	0
125-A	125-A	1	125-A_S136_L001_R1_001.fastq.gz	125-A_S136_L001_R2_001.fastq.gz	42787	42787	42100	42100	41584	41584	39443	39443	38918	0
125-B	125-B	1	125-B_S326_L001_R1_001.fastq.gz	125-B_S326_L001_R2_001.fastq.gz	24446	24446	24044	24044	23770	23770	22878	22878	22633	0
125-C	125-C	1	125-C_S516_L001_R1_001.fastq.gz	125-C_S516_L001_R2_001.fastq.gz	24414	24414	24000	24000	21967	21967	17114	17114	16932	0
126-A	126-A	1	126-A_S137_L001_R1_001.fastq.gz	126-A_S137_L001_R2_001.fastq.gz	18604	18604	18280	18280	18073	18073	17467	17467	17315	0
126-B	126-B	1	126-B_S327_L001_R1_001.fastq.gz	126-B_S327_L001_R2_001.fastq.gz	26662	26662	26206	26206	25959	25959	24935	24935	24700	0
126-C	126-C	1	126-C_S517_L001_R1_001.fastq.gz	126-C_S517_L001_R2_001.fastq.gz	28954	28954	28611	28611	25649	25649	17018	17018	16631	0
127-A	127-A	1	127-A_S138_L001_R1_001.fastq.gz	127-A_S138_L001_R2_001.fastq.gz	9363	9363	9205	9205	314	314	160	160	160	0
127-B	127-B	1	127-B_S328_L001_R1_001.fastq.gz	127-B_S328_L001_R2_001.fastq.gz	7983	7983	7880	7880	345	345	197	197	197	0
127-C	127-C	1	127-C_S518_L001_R1_001.fastq.gz	127-C_S518_L001_R2_001.fastq.gz	5499	5499	5128	5128	665	665	78	78	78	0
128-A	128-A	1	128-A_S139_L001_R1_001.fastq.gz	128-A_S139_L001_R2_001.fastq.gz	47969	47969	47265	47265	46719	46719	38129	38129	37727	0
128-B	128-B	1	128-B_S329_L001_R1_001.fastq.gz	128-B_S329_L001_R2_001.fastq.gz	31784	31784	31331	31331	29231	29231	27185	27185	26955	0
128-C	128-C	1	128-C_S519_L001_R1_001.fastq.gz	128-C_S519_L001_R2_001.fastq.gz	37735	37735	37158	37158	35820	35820	15579	15579	15284	0
129-A	129-A	1	129-A_S140_L001_R1_001.fastq.gz	129-A_S140_L001_R2_001.fastq.gz	29888	29888	29458	29458	28597	28597	24279	24279	24059	0
129-B	129-B	1	129-B_S330_L001_R1_001.fastq.gz	129-B_S330_L001_R2_001.fastq.gz	23839	23839	23528	23528	23056	23056	21859	21859	21705	0
129-C	129-C	1	129-C_S520_L001_R1_001.fastq.gz	129-C_S520_L001_R2_001.fastq.gz	29475	29475	29023	29023	22059	22059	12424	12424	12413	0
13-A	13-A	1	13-A_S13_L001_R1_001.fastq.gz	13-A_S13_L001_R2_001.fastq.gz	30300	30300	29935	29935	26912	26912	19478	19478	19469	0
13-B	13-B	1	13-B_S203_L001_R1_001.fastq.gz	13-B_S203_L001_R2_001.fastq.gz	17861	17861	17622	17622	16539	16539	14125	14125	14106	0
13-C	13-C	1	13-C_S393_L001_R1_001.fastq.gz	13-C_S393_L001_R2_001.fastq.gz	66263	66263	65426	65426	60640	60640	37350	37350	37287	0
130-A	130-A	1	130-A_S149_L001_R1_001.fastq.gz	130-A_S149_L001_R2_001.fastq.gz	58326	58326	57480	57480	55101	55101	44829	44829	44067	0
130-B	130-B	1	130-B_S339_L001_R1_001.fastq.gz	130-B_S339_L001_R2_001.fastq.gz	43003	43003	42404	42404	41918	41918	39238	39238	38467	0
130-C	130-C	1	130-C_S529_L001_R1_001.fastq.gz	130-C_S529_L001_R2_001.fastq.gz	25321	25321	24714	24714	7201	7201	4546	4546	4546	0
131-A	131-A	1	131-A_S150_L001_R1_001.fastq.gz	131-A_S150_L001_R2_001.fastq.gz	83801	83801	82560	82560	81968	81968	77548	77548	75899	0
131-B	131-B	1	131-B_S340_L001_R1_001.fastq.gz	131-B_S340_L001_R2_001.fastq.gz	61171	61171	60212	60212	59771	59771	57778	57778	56643	0
131-C	131-C	1	131-C_S530_L001_R1_001.fastq.gz	131-C_S530_L001_R2_001.fastq.gz	22370	22370	21939	21939	14863	14863	13690	13690	13531	0
132-A	132-A	1	132-A_S143_L001_R1_001.fastq.gz	132-A_S143_L001_R2_001.fastq.gz	38548	38548	37951	37951	37367	37367	35463	35463	34999	0
132-B	132-B	1	132-B_S333_L001_R1_001.fastq.gz	132-B_S333_L001_R2_001.fastq.gz	25445	25445	25055	25055	24697	24697	24251	24251	23952	0
132-C	132-C	1	132-C_S523_L001_R1_001.fastq.gz	132-C_S523_L001_R2_001.fastq.gz	21393	21393	20974	20974	16825	16825	15068	15068	14915	0
133-A	133-A	1	133-A_S144_L001_R1_001.fastq.gz	133-A_S144_L001_R2_001.fastq.gz	51828	51828	51021	51021	45310	45310	43579	43579	41508	0
133-B	133-B	1	133-B_S334_L001_R1_001.fastq.gz	133-B_S334_L001_R2_001.fastq.gz	40700	40700	40075	40075	39749	39749	38589	38589	36964	0
133-C	133-C	1	133-C_S524_L001_R1_001.fastq.gz	133-C_S524_L001_R2_001.fastq.gz	27308	27308	26878	26878	26338	26338	21956	21956	21211	0
134-A	134-A	1	134-A_S145_L001_R1_001.fastq.gz	134-A_S145_L001_R2_001.fastq.gz	7607	7607	7477	7477	207	207	92	92	92	0
134-B	134-B	1	134-B_S335_L001_R1_001.fastq.gz	134-B_S335_L001_R2_001.fastq.gz	9247	9247	9116	9116	296	296	147	147	147	0
134-C	134-C	1	134-C_S525_L001_R1_001.fastq.gz	134-C_S525_L001_R2_001.fastq.gz	9818	9818	9697	9697	388	388	143	143	143	0
135-A	135-A	1	135-A_S146_L001_R1_001.fastq.gz	135-A_S146_L001_R2_001.fastq.gz	12090	12090	11903	11903	11240	11240	6868	6868	6832	0
135-B	135-B	1	135-B_S336_L001_R1_001.fastq.gz	135-B_S336_L001_R2_001.fastq.gz	36417	36417	35844	35844	35502	35502	30732	30732	30303	0
135-C	135-C	1	135-C_S526_L001_R1_001.fastq.gz	135-C_S526_L001_R2_001.fastq.gz	22189	22189	21875	21875	18090	18090	6128	6128	6086	0
136-A	136-A	1	136-A_S147_L001_R1_001.fastq.gz	136-A_S147_L001_R2_001.fastq.gz	24377	24377	23906	23906	23457	23457	16431	16431	16315	0
136-B	136-B	1	136-B_S337_L001_R1_001.fastq.gz	136-B_S337_L001_R2_001.fastq.gz	40733	40733	40002	40002	39569	39569	34344	34344	33967	0
136-C	136-C	1	136-C_S527_L001_R1_001.fastq.gz	136-C_S527_L001_R2_001.fastq.gz	25514	25514	25032	25032	21042	21042	7572	7572	7555	0
137-A	137-A	1	137-A_S148_L001_R1_001.fastq.gz	137-A_S148_L001_R2_001.fastq.gz	30811	30811	30413	30413	29792	29792	18677	18677	18514	0
137-B	137-B	1	137-B_S338_L001_R1_001.fastq.gz	137-B_S338_L001_R2_001.fastq.gz	34378	34378	33904	33904	32459	32459	27309	27309	27065	0
137-C	137-C	1	137-C_S528_L001_R1_001.fastq.gz	137-C_S528_L001_R2_001.fastq.gz	22932	22932	22455	22455	13997	13997	4919	4919	4919	0
138-A	138-A	1	138-A_S141_L001_R1_001.fastq.gz	138-A_S141_L001_R2_001.fastq.gz	8243	8243	8131	8131	8036	8036	7826	7826	7775	0
138-B	138-B	1	138-B_S331_L001_R1_001.fastq.gz	138-B_S331_L001_R2_001.fastq.gz	3236	3236	3188	3188	3128	3128	2968	2968	2968	0
138-C	138-C	1	138-C_S521_L001_R1_001.fastq.gz	138-C_S521_L001_R2_001.fastq.gz	8098	8098	7960	7960	6711	6711	6341	6341	6306	0
139-A	139-A	1	139-A_S142_L001_R1_001.fastq.gz	139-A_S142_L001_R2_001.fastq.gz	47043	47043	46252	46252	45912	45912	44253	44253	43852	0
139-B	139-B	1	139-B_S332_L001_R1_001.fastq.gz	139-B_S332_L001_R2_001.fastq.gz	38734	38734	38086	38086	37711	37711	37228	37228	36868	0
139-C	139-C	1	139-C_S522_L001_R1_001.fastq.gz	139-C_S522_L001_R2_001.fastq.gz	28386	28386	27890	27890	27347	27347	22669	22669	22424	0
14-A	14-A	1	14-A_S14_L001_R1_001.fastq.gz	14-A_S14_L001_R2_001.fastq.gz	30125	30125	29699	29699	28813	28813	25197	25197	25121	0
14-B	14-B	1	14-B_S204_L001_R1_001.fastq.gz	14-B_S204_L001_R2_001.fastq.gz	63988	63988	63078	63078	50840	50840	47640	47640	47605	0
14-C	14-C	1	14-C_S394_L001_R1_001.fastq.gz	14-C_S394_L001_R2_001.fastq.gz	73220	73220	72273	72273	70189	70189	52249	52249	52060	0
140-A	140-A	1	140-A_S151_L001_R1_001.fastq.gz	140-A_S151_L001_R2_001.fastq.gz	14718	14718	14486	14486	13921	13921	13492	13492	13346	0
140-B	140-B	1	140-B_S341_L001_R1_001.fastq.gz	140-B_S341_L001_R2_001.fastq.gz	65226	65226	64204	64204	63656	63656	61848	61848	61306	0
140-C	140-C	1	140-C_S531_L001_R1_001.fastq.gz	140-C_S531_L001_R2_001.fastq.gz	28315	28315	27891	27891	24678	24678	21902	21902	21727	0
141-A	141-A	1	141-A_S152_L001_R1_001.fastq.gz	141-A_S152_L001_R2_001.fastq.gz	10674	10674	10504	10504	688	688	387	387	387	0
141-B	141-B	1	141-B_S342_L001_R1_001.fastq.gz	141-B_S342_L001_R2_001.fastq.gz	4199	4199	4136	4136	624	624	413	413	413	0
141-C	141-C	1	141-C_S532_L001_R1_001.fastq.gz	141-C_S532_L001_R2_001.fastq.gz	9797	9797	9439	9439	785	785	289	289	289	0
142-A	142-A	1	142-A_S153_L001_R1_001.fastq.gz	142-A_S153_L001_R2_001.fastq.gz	18243	18243	17973	17973	17159	17159	9211	9211	9086	0
142-B	142-B	1	142-B_S343_L001_R1_001.fastq.gz	142-B_S343_L001_R2_001.fastq.gz	23703	23703	23346	23346	23047	23047	18255	18255	18032	0
142-C	142-C	1	142-C_S533_L001_R1_001.fastq.gz	142-C_S533_L001_R2_001.fastq.gz	67166	67166	65285	65285	58523	58523	19565	19565	18924	0
143-A	143-A	1	143-A_S154_L001_R1_001.fastq.gz	143-A_S154_L001_R2_001.fastq.gz	19849	19849	19527	19527	17473	17473	11117	11117	10989	0
143-B	143-B	1	143-B_S344_L001_R1_001.fastq.gz	143-B_S344_L001_R2_001.fastq.gz	17589	17589	17331	17331	17096	17096	13995	13995	13890	0
143-C	143-C	1	143-C_S534_L001_R1_001.fastq.gz	143-C_S534_L001_R2_001.fastq.gz	44840	44840	44178	44178	37522	37522	10894	10894	10780	0
144-A	144-A	1	144-A_S155_L001_R1_001.fastq.gz	144-A_S155_L001_R2_001.fastq.gz	24386	24386	24043	24043	23288	23288	12496	12496	12431	0
144-B	144-B	1	144-B_S345_L001_R1_001.fastq.gz	144-B_S345_L001_R2_001.fastq.gz	15506	15506	15269	15269	14782	14782	12323	12323	12270	0
144-C	144-C	1	144-C_S535_L001_R1_001.fastq.gz	144-C_S535_L001_R2_001.fastq.gz	27588	27588	26901	26901	7673	7673	1543	1543	1538	0
145-A	145-A	1	145-A_S156_L001_R1_001.fastq.gz	145-A_S156_L001_R2_001.fastq.gz	58751	58751	57802	57802	56822	56822	52658	52658	50973	0
145-B	145-B	1	145-B_S346_L001_R1_001.fastq.gz	145-B_S346_L001_R2_001.fastq.gz	44519	44519	43819	43819	43196	43196	41914	41914	40596	0
145-C	145-C	1	145-C_S536_L001_R1_001.fastq.gz	145-C_S536_L001_R2_001.fastq.gz	51420	51420	50612	50612	47854	47854	36238	36238	35146	0
146-A	146-A	1	146-A_S157_L001_R1_001.fastq.gz	146-A_S157_L001_R2_001.fastq.gz	34655	34655	34114	34114	33649	33649	32423	32423	31447	0
146-B	146-B	1	146-B_S347_L001_R1_001.fastq.gz	146-B_S347_L001_R2_001.fastq.gz	34193	34193	33623	33623	33138	33138	32228	32228	31617	0
146-C	146-C	1	146-C_S537_L001_R1_001.fastq.gz	146-C_S537_L001_R2_001.fastq.gz	59667	59667	58504	58504	37709	37709	34394	34394	33489	0
147-A	147-A	1	147-A_S158_L001_R1_001.fastq.gz	147-A_S158_L001_R2_001.fastq.gz	32484	32484	31966	31966	30583	30583	28598	28598	27678	0
147-B	147-B	1	147-B_S348_L001_R1_001.fastq.gz	147-B_S348_L001_R2_001.fastq.gz	37041	37041	36452	36452	35975	35975	34941	34941	33687	0
147-C	147-C	1	147-C_S538_L001_R1_001.fastq.gz	147-C_S538_L001_R2_001.fastq.gz	55150	55150	53986	53986	32098	32098	28814	28814	28350	0
148-A	148-A	1	148-A_S159_L001_R1_001.fastq.gz	148-A_S159_L001_R2_001.fastq.gz	5490	5490	5150	5150	878	878	588	588	588	0
148-B	148-B	1	148-B_S349_L001_R1_001.fastq.gz	148-B_S349_L001_R2_001.fastq.gz	1856	1856	1598	1598	947	947	744	744	744	0
148-C	148-C	1	148-C_S539_L001_R1_001.fastq.gz	148-C_S539_L001_R2_001.fastq.gz	14090	14090	13573	13573	1241	1241	571	571	571	0
149-A	149-A	1	149-A_S160_L001_R1_001.fastq.gz	149-A_S160_L001_R2_001.fastq.gz	27706	27706	27285	27285	26014	26014	14143	14143	14057	0
149-B	149-B	1	149-B_S350_L001_R1_001.fastq.gz	149-B_S350_L001_R2_001.fastq.gz	36002	36002	35489	35489	34152	34152	25085	25085	24509	0
149-C	149-C	1	149-C_S540_L001_R1_001.fastq.gz	149-C_S540_L001_R2_001.fastq.gz	54183	54183	53376	53376	48441	48441	12749	12749	12646	0
15-A	15-A	1	15-A_S15_L001_R1_001.fastq.gz	15-A_S15_L001_R2_001.fastq.gz	3068	3068	2913	2913	680	680	192	192	192	0
15-B	15-B	1	15-B_S205_L001_R1_001.fastq.gz	15-B_S205_L001_R2_001.fastq.gz	943	943	757	757	585	585	342	342	342	0
15-C	15-C	1	15-C_S395_L001_R1_001.fastq.gz	15-C_S395_L001_R2_001.fastq.gz	17288	17288	16951	16951	676	676	238	238	238	0
150-A	150-A	1	150-A_S161_L001_R1_001.fastq.gz	150-A_S161_L001_R2_001.fastq.gz	12792	12792	12598	12598	12308	12308	6442	6442	6432	0
150-B	150-B	1	150-B_S351_L001_R1_001.fastq.gz	150-B_S351_L001_R2_001.fastq.gz	24727	24727	24356	24356	23435	23435	17762	17762	17559	0
150-C	150-C	1	150-C_S541_L001_R1_001.fastq.gz	150-C_S541_L001_R2_001.fastq.gz	55033	55033	54497	54497	49918	49918	17231	17231	16786	0
151-A	151-A	1	151-A_S162_L001_R1_001.fastq.gz	151-A_S162_L001_R2_001.fastq.gz	13835	13835	13651	13651	13406	13406	6435	6435	6406	0
151-B	151-B	1	151-B_S352_L001_R1_001.fastq.gz	151-B_S352_L001_R2_001.fastq.gz	20575	20575	20283	20283	19420	19420	14258	14258	14078	0
151-C	151-C	1	151-C_S542_L001_R1_001.fastq.gz	151-C_S542_L001_R2_001.fastq.gz	39989	39989	39445	39445	35781	35781	7989	7989	7981	0
152-A	152-A	1	152-A_S163_L001_R1_001.fastq.gz	152-A_S163_L001_R2_001.fastq.gz	17298	17298	17051	17051	16771	16771	15297	15297	15051	0
152-B	152-B	1	152-B_S353_L001_R1_001.fastq.gz	152-B_S353_L001_R2_001.fastq.gz	17995	17995	17733	17733	16545	16545	15762	15762	15754	0
152-C	152-C	1	152-C_S543_L001_R1_001.fastq.gz	152-C_S543_L001_R2_001.fastq.gz	35122	35122	34596	34596	30684	30684	19548	19548	19004	0
153-A	153-A	1	153-A_S164_L001_R1_001.fastq.gz	153-A_S164_L001_R2_001.fastq.gz	21566	21566	21280	21280	21009	21009	19052	19052	18730	0
153-B	153-B	1	153-B_S354_L001_R1_001.fastq.gz	153-B_S354_L001_R2_001.fastq.gz	24754	24754	24348	24348	23847	23847	22772	22772	22342	0
153-C	153-C	1	153-C_S544_L001_R1_001.fastq.gz	153-C_S544_L001_R2_001.fastq.gz	44731	44731	44150	44150	42918	42918	28089	28089	27584	0
154-A	154-A	1	154-A_S165_L001_R1_001.fastq.gz	154-A_S165_L001_R2_001.fastq.gz	19243	19243	18895	18895	18404	18404	15904	15904	15714	0
154-B	154-B	1	154-B_S355_L001_R1_001.fastq.gz	154-B_S355_L001_R2_001.fastq.gz	42584	42584	41841	41841	40918	40918	37927	37927	37249	0
154-C	154-C	1	154-C_S545_L001_R1_001.fastq.gz	154-C_S545_L001_R2_001.fastq.gz	30344	30344	29669	29669	21124	21124	15508	15508	15331	0
155-A	155-A	1	155-A_S166_L001_R1_001.fastq.gz	155-A_S166_L001_R2_001.fastq.gz	6050	6050	5942	5942	645	645	482	482	482	0
155-B	155-B	1	155-B_S356_L001_R1_001.fastq.gz	155-B_S356_L001_R2_001.fastq.gz	10255	10255	10137	10137	697	697	530	530	530	0
155-C	155-C	1	155-C_S546_L001_R1_001.fastq.gz	155-C_S546_L001_R2_001.fastq.gz	15908	15908	15683	15683	794	794	413	413	413	0
156-A	156-A	1	156-A_S167_L001_R1_001.fastq.gz	156-A_S167_L001_R2_001.fastq.gz	34398	34398	33899	33899	33414	33414	20473	20473	20076	0
156-B	156-B	1	156-B_S357_L001_R1_001.fastq.gz	156-B_S357_L001_R2_001.fastq.gz	24976	24976	24561	24561	23896	23896	18596	18596	18132	0
156-C	156-C	1	156-C_S547_L001_R1_001.fastq.gz	156-C_S547_L001_R2_001.fastq.gz	48977	48977	48216	48216	29177	29177	4623	4623	4623	0
157-A	157-A	1	157-A_S168_L001_R1_001.fastq.gz	157-A_S168_L001_R2_001.fastq.gz	22050	22050	21693	21693	17740	17740	11100	11100	10981	0
157-B	157-B	1	157-B_S358_L001_R1_001.fastq.gz	157-B_S358_L001_R2_001.fastq.gz	22992	22992	22683	22683	20506	20506	15707	15707	15324	0
157-C	157-C	1	157-C_S548_L001_R1_001.fastq.gz	157-C_S548_L001_R2_001.fastq.gz	67902	67902	66816	66816	47138	47138	7190	7190	7125	0
158-A	158-A	1	158-A_S169_L001_R1_001.fastq.gz	158-A_S169_L001_R2_001.fastq.gz	13059	13059	12783	12783	7541	7541	4777	4777	4777	0
158-B	158-B	1	158-B_S359_L001_R1_001.fastq.gz	158-B_S359_L001_R2_001.fastq.gz	42122	42122	41532	41532	40588	40588	32894	32894	32443	0
158-C	158-C	1	158-C_S549_L001_R1_001.fastq.gz	158-C_S549_L001_R2_001.fastq.gz	25532	25532	25143	25143	21088	21088	7231	7231	7192	0
159-A	159-A	1	159-A_S170_L001_R1_001.fastq.gz	159-A_S170_L001_R2_001.fastq.gz	8319	8319	8204	8204	5399	5399	4902	4902	4862	0
159-B	159-B	1	159-B_S360_L001_R1_001.fastq.gz	159-B_S360_L001_R2_001.fastq.gz	27967	27967	27541	27541	27282	27282	25837	25837	25395	0
159-C	159-C	1	159-C_S550_L001_R1_001.fastq.gz	159-C_S550_L001_R2_001.fastq.gz	23672	23672	23343	23343	19298	19298	13975	13975	13778	0
16-A	16-A	1	16-A_S16_L001_R1_001.fastq.gz	16-A_S16_L001_R2_001.fastq.gz	19416	19416	19106	19106	18684	18684	17324	17324	17183	0
16-B	16-B	1	16-B_S206_L001_R1_001.fastq.gz	16-B_S206_L001_R2_001.fastq.gz	60481	60481	59564	59564	58396	58396	54826	54826	53828	0
16-C	16-C	1	16-C_S396_L001_R1_001.fastq.gz	16-C_S396_L001_R2_001.fastq.gz	50099	50099	49337	49337	47477	47477	43859	43859	43117	0
160-A	160-A	1	160-A_S171_L001_R1_001.fastq.gz	160-A_S171_L001_R2_001.fastq.gz	21086	21086	20759	20759	20354	20354	18792	18792	18560	0
