sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_merged	reads_tabled	reads_chimera_checked	reads_tax.length_filtered
78-B	78-B	1	78-B_S276_L001_R1_001.fastq.gz	78-B_S276_L001_R2_001.fastq.gz	11648	11648	11495	11495	409	409	142	142	142	0
78-C	78-C	1	78-C_S466_L001_R1_001.fastq.gz	78-C_S466_L001_R2_001.fastq.gz	4889	4889	4807	4807	283	283	122	122	122	0
79-A	79-A	1	79-A_S87_L001_R1_001.fastq.gz	79-A_S87_L001_R2_001.fastq.gz	27631	27631	27204	27204	26660	26660	19989	19989	19940	0
79-B	79-B	1	79-B_S277_L001_R1_001.fastq.gz	79-B_S277_L001_R2_001.fastq.gz	51411	51411	50639	50639	49451	49451	43445	43445	43028	0
79-C	79-C	1	79-C_S467_L001_R1_001.fastq.gz	79-C_S467_L001_R2_001.fastq.gz	25549	25549	25206	25206	22887	22887	14650	14650	14554	0
8-A	8-A	1	8-A_S8_L001_R1_001.fastq.gz	8-A_S8_L001_R2_001.fastq.gz	49563	49563	47433	47433	46699	46699	44839	44839	44787	0
8-B	8-B	1	8-B_S198_L001_R1_001.fastq.gz	8-B_S198_L001_R2_001.fastq.gz	1942	1942	1010	1010	918	918	541	541	541	0
8-C	8-C	1	8-C_S388_L001_R1_001.fastq.gz	8-C_S388_L001_R2_001.fastq.gz	57451	57451	55073	55073	52922	52922	47757	47757	46406	0
80-A	80-A	1	80-A_S88_L001_R1_001.fastq.gz	80-A_S88_L001_R2_001.fastq.gz	31523	31523	31077	31077	30626	30626	24093	24093	23926	0
80-B	80-B	1	80-B_S278_L001_R1_001.fastq.gz	80-B_S278_L001_R2_001.fastq.gz	51844	51844	51122	51122	45625	45625	37720	37720	37322	0
80-C	80-C	1	80-C_S468_L001_R1_001.fastq.gz	80-C_S468_L001_R2_001.fastq.gz	22126	22126	21830	21830	20764	20764	11564	11564	11528	0
81-A	81-A	1	81-A_S89_L001_R1_001.fastq.gz	81-A_S89_L001_R2_001.fastq.gz	29214	29214	28745	28745	28074	28074	24265	24265	24056	0
81-B	81-B	1	81-B_S279_L001_R1_001.fastq.gz	81-B_S279_L001_R2_001.fastq.gz	10009	10009	9843	9843	9653	9653	8737	8737	8713	0
81-C	81-C	1	81-C_S469_L001_R1_001.fastq.gz	81-C_S469_L001_R2_001.fastq.gz	16941	16941	16701	16701	13440	13440	8749	8749	8680	0
82-A	82-A	1	82-A_S90_L001_R1_001.fastq.gz	82-A_S90_L001_R2_001.fastq.gz	22432	22432	22131	22131	21557	21557	19881	19881	19847	0
82-B	82-B	1	82-B_S280_L001_R1_001.fastq.gz	82-B_S280_L001_R2_001.fastq.gz	20404	20404	20087	20087	19896	19896	18775	18775	18729	0
82-C	82-C	1	82-C_S470_L001_R1_001.fastq.gz	82-C_S470_L001_R2_001.fastq.gz	20538	20538	20290	20290	19684	19684	14186	14186	13965	0
83-A	83-A	1	83-A_S91_L001_R1_001.fastq.gz	83-A_S91_L001_R2_001.fastq.gz	30249	30249	29791	29791	29310	29310	27462	27462	27400	0
83-B	83-B	1	83-B_S281_L001_R1_001.fastq.gz	83-B_S281_L001_R2_001.fastq.gz	16861	16861	16606	16606	16325	16325	15783	15783	15760	0
83-C	83-C	1	83-C_S471_L001_R1_001.fastq.gz	83-C_S471_L001_R2_001.fastq.gz	22283	22283	21961	21961	21364	21364	18071	18071	18014	0
84-A	84-A	1	84-A_S92_L001_R1_001.fastq.gz	84-A_S92_L001_R2_001.fastq.gz	33890	33890	33290	33290	32479	32479	31115	31115	31039	0
84-B	84-B	1	84-B_S282_L001_R1_001.fastq.gz	84-B_S282_L001_R2_001.fastq.gz	24774	24774	24349	24349	24036	24036	23391	23391	23323	0
84-C	84-C	1	84-C_S472_L001_R1_001.fastq.gz	84-C_S472_L001_R2_001.fastq.gz	23142	23142	22825	22825	21845	21845	14944	14944	14567	0
85-A	85-A	1	85-A_S93_L001_R1_001.fastq.gz	85-A_S93_L001_R2_001.fastq.gz	4909	4909	4837	4837	361	361	142	142	142	0
85-B	85-B	1	85-B_S283_L001_R1_001.fastq.gz	85-B_S283_L001_R2_001.fastq.gz	853	853	822	822	680	680	499	499	499	0
85-C	85-C	1	85-C_S473_L001_R1_001.fastq.gz	85-C_S473_L001_R2_001.fastq.gz	5476	5476	5407	5407	421	421	156	156	156	0
86-A	86-A	1	86-A_S97_L001_R1_001.fastq.gz	86-A_S97_L001_R2_001.fastq.gz	17816	17816	17550	17550	16658	16658	14034	14034	13840	0
86-B	86-B	1	86-B_S287_L001_R1_001.fastq.gz	86-B_S287_L001_R2_001.fastq.gz	10998	10998	10832	10832	10483	10483	9855	9855	9734	0
86-C	86-C	1	86-C_S477_L001_R1_001.fastq.gz	86-C_S477_L001_R2_001.fastq.gz	49588	49588	48847	48847	32562	32562	21772	21772	21598	0
87-A	87-A	1	87-A_S98_L001_R1_001.fastq.gz	87-A_S98_L001_R2_001.fastq.gz	60613	60613	59601	59601	58154	58154	51566	51566	49980	0
87-B	87-B	1	87-B_S288_L001_R1_001.fastq.gz	87-B_S288_L001_R2_001.fastq.gz	32988	32988	32387	32387	31996	31996	30090	30090	29269	0
87-C	87-C	1	87-C_S478_L001_R1_001.fastq.gz	87-C_S478_L001_R2_001.fastq.gz	57182	57182	56206	56206	52649	52649	35876	35876	34870	0
88-A	88-A	1	88-A_S99_L001_R1_001.fastq.gz	88-A_S99_L001_R2_001.fastq.gz	8148	8148	8048	8048	7853	7853	6599	6599	6522	0
88-B	88-B	1	88-B_S289_L001_R1_001.fastq.gz	88-B_S289_L001_R2_001.fastq.gz	21904	21904	21602	21602	21333	21333	19924	19924	19767	0
88-C	88-C	1	88-C_S479_L001_R1_001.fastq.gz	88-C_S479_L001_R2_001.fastq.gz	65506	65506	64520	64520	53154	53154	32279	32279	31800	0
89-A	89-A	1	89-A_S100_L001_R1_001.fastq.gz	89-A_S100_L001_R2_001.fastq.gz	12607	12607	12425	12425	12191	12191	11267	11267	11126	0
89-B	89-B	1	89-B_S290_L001_R1_001.fastq.gz	89-B_S290_L001_R2_001.fastq.gz	43073	43073	42468	42468	42106	42106	40379	40379	39999	0
89-C	89-C	1	89-C_S480_L001_R1_001.fastq.gz	89-C_S480_L001_R2_001.fastq.gz	26260	26260	25858	25858	24775	24775	18826	18826	18645	0
9-A	9-A	1	9-A_S9_L001_R1_001.fastq.gz	9-A_S9_L001_R2_001.fastq.gz	22857	22857	22519	22519	22060	22060	21126	21126	21112	0
9-B	9-B	1	9-B_S199_L001_R1_001.fastq.gz	9-B_S199_L001_R2_001.fastq.gz	13057	13057	12814	12814	12544	12544	12100	12100	12100	0
9-C	9-C	1	9-C_S389_L001_R1_001.fastq.gz	9-C_S389_L001_R2_001.fastq.gz	62183	62183	61260	61260	56826	56826	55291	55291	55233	0
90-A	90-A	1	90-A_S101_L001_R1_001.fastq.gz	90-A_S101_L001_R2_001.fastq.gz	13333	13333	13122	13122	11538	11538	10902	10902	10799	0
90-B	90-B	1	90-B_S291_L001_R1_001.fastq.gz	90-B_S291_L001_R2_001.fastq.gz	23129	23129	22794	22794	22598	22598	22277	22277	22174	0
90-C	90-C	1	90-C_S481_L001_R1_001.fastq.gz	90-C_S481_L001_R2_001.fastq.gz	31349	31349	30845	30845	29721	29721	23140	23140	23024	0
91-A	91-A	1	91-A_S102_L001_R1_001.fastq.gz	91-A_S102_L001_R2_001.fastq.gz	25367	25367	24986	24986	24579	24579	23123	23123	23033	0
91-B	91-B	1	91-B_S292_L001_R1_001.fastq.gz	91-B_S292_L001_R2_001.fastq.gz	48259	48259	47537	47537	47154	47154	45045	45045	44634	0
91-C	91-C	1	91-C_S482_L001_R1_001.fastq.gz	91-C_S482_L001_R2_001.fastq.gz	22569	22569	22266	22266	21093	21093	15802	15802	15670	0
92-A	92-A	1	92-A_S103_L001_R1_001.fastq.gz	92-A_S103_L001_R2_001.fastq.gz	3312	3312	3259	3259	725	725	220	220	220	0
92-B	92-B	1	92-B_S293_L001_R1_001.fastq.gz	92-B_S293_L001_R2_001.fastq.gz	6120	6120	6038	6038	321	321	207	207	207	0
92-C	92-C	1	92-C_S483_L001_R1_001.fastq.gz	92-C_S483_L001_R2_001.fastq.gz	14845	14845	14639	14639	670	670	251	251	251	0
93-A	93-A	1	93-A_S104_L001_R1_001.fastq.gz	93-A_S104_L001_R2_001.fastq.gz	8024	8024	6921	6921	6369	6369	5520	5520	5467	0
93-B	93-B	1	93-B_S294_L001_R1_001.fastq.gz	93-B_S294_L001_R2_001.fastq.gz	40397	40397	38435	38435	37245	37245	35157	35157	34614	0
93-C	93-C	1	93-C_S484_L001_R1_001.fastq.gz	93-C_S484_L001_R2_001.fastq.gz	32584	32584	30523	30523	23628	23628	14137	14137	13939	0
94-A	94-A	1	94-A_S105_L001_R1_001.fastq.gz	94-A_S105_L001_R2_001.fastq.gz	14774	14774	14545	14545	10973	10973	9376	9376	9328	0
94-B	94-B	1	94-B_S295_L001_R1_001.fastq.gz	94-B_S295_L001_R2_001.fastq.gz	9160	9160	9022	9022	8808	8808	8370	8370	8352	0
94-C	94-C	1	94-C_S485_L001_R1_001.fastq.gz	94-C_S485_L001_R2_001.fastq.gz	120479	120479	119372	119372	109909	109909	51786	51786	50501	0
95-A	95-A	1	95-A_S106_L001_R1_001.fastq.gz	95-A_S106_L001_R2_001.fastq.gz	30334	30334	29853	29853	19383	19383	16157	16157	16053	0
95-B	95-B	1	95-B_S296_L001_R1_001.fastq.gz	95-B_S296_L001_R2_001.fastq.gz	13803	13803	13590	13590	13361	13361	12456	12456	12389	0
95-C	95-C	1	95-C_S486_L001_R1_001.fastq.gz	95-C_S486_L001_R2_001.fastq.gz	89065	89065	87792	87792	75800	75800	39268	39268	38259	0
96-A	96-A	1	96-A_S107_L001_R1_001.fastq.gz	96-A_S107_L001_R2_001.fastq.gz	31380	31380	30894	30894	30466	30466	28542	28542	28364	0
96-B	96-B	1	96-B_S297_L001_R1_001.fastq.gz	96-B_S297_L001_R2_001.fastq.gz	13909	13909	13710	13710	13528	13528	13223	13223	13105	0
96-C	96-C	1	96-C_S487_L001_R1_001.fastq.gz	96-C_S487_L001_R2_001.fastq.gz	74497	74497	73385	73385	70581	70581	48956	48956	48692	0
97-A	97-A	1	97-A_S108_L001_R1_001.fastq.gz	97-A_S108_L001_R2_001.fastq.gz	33233	33233	32670	32670	31862	31862	30359	30359	30173	0
97-B	97-B	1	97-B_S298_L001_R1_001.fastq.gz	97-B_S298_L001_R2_001.fastq.gz	15394	15394	15162	15162	14958	14958	14568	14568	14505	0
97-C	97-C	1	97-C_S488_L001_R1_001.fastq.gz	97-C_S488_L001_R2_001.fastq.gz	63764	63764	62831	62831	57077	57077	40602	40602	40360	0
98-A	98-A	1	98-A_S109_L001_R1_001.fastq.gz	98-A_S109_L001_R2_001.fastq.gz	204632	204632	201655	201655	199482	199482	183688	183688	180009	0
98-B	98-B	1	98-B_S299_L001_R1_001.fastq.gz	98-B_S299_L001_R2_001.fastq.gz	9927	9927	9793	9793	9629	9629	9327	9327	9262	0
98-C	98-C	1	98-C_S489_L001_R1_001.fastq.gz	98-C_S489_L001_R2_001.fastq.gz	72897	72897	71688	71688	67797	67797	50118	50118	49833	0
99-A	99-A	1	99-A_S110_L001_R1_001.fastq.gz	99-A_S110_L001_R2_001.fastq.gz	6522	6522	6396	6396	485	485	317	317	317	0
99-B	99-B	1	99-B_S300_L001_R1_001.fastq.gz	99-B_S300_L001_R2_001.fastq.gz	3722	3722	3666	3666	424	424	290	290	290	0
99-C	99-C	1	99-C_S490_L001_R1_001.fastq.gz	99-C_S490_L001_R2_001.fastq.gz	8949	8949	8834	8834	629	629	322	322	322	0
H2O1-A	H2O1-A	1	H2O1-A_S94_L001_R1_001.fastq.gz	H2O1-A_S94_L001_R2_001.fastq.gz	10488	10488	10331	10331	260	260	32	32	32	32
H2O1-B	H2O1-B	1	H2O1-B_S284_L001_R1_001.fastq.gz	H2O1-B_S284_L001_R2_001.fastq.gz	13790	13790	13518	13518	2262	2262	46	46	46	46
H2O1-C	H2O1-C	1	H2O1-C_S474_L001_R1_001.fastq.gz	H2O1-C_S474_L001_R2_001.fastq.gz	3516	3516	3462	3462	173	173	0	0	0	0
H2O2-A	H2O2-A	1	H2O2-A_S95_L001_R1_001.fastq.gz	H2O2-A_S95_L001_R2_001.fastq.gz	807	807	732	732	624	624	310	310	310	310
H2O2-B	H2O2-B	1	H2O2-B_S285_L001_R1_001.fastq.gz	H2O2-B_S285_L001_R2_001.fastq.gz	4254	4254	4162	4162	1380	1380	935	935	935	935
H2O2-C	H2O2-C	1	H2O2-C_S475_L001_R1_001.fastq.gz	H2O2-C_S475_L001_R2_001.fastq.gz	22833	22833	22411	22411	21926	21926	21063	21063	21045	21045
H2O3-A	H2O3-A	1	H2O3-A_S188_L001_R1_001.fastq.gz	H2O3-A_S188_L001_R2_001.fastq.gz	5101	5101	4970	4970	431	431	320	320	320	320
H2O3-B	H2O3-B	1	H2O3-B_S378_L001_R1_001.fastq.gz	H2O3-B_S378_L001_R2_001.fastq.gz	1097	1097	1044	1044	530	530	433	433	433	433
H2O3-C	H2O3-C	1	H2O3-C_S568_L001_R1_001.fastq.gz	H2O3-C_S568_L001_R2_001.fastq.gz	5687	5687	5559	5559	709	709	404	404	404	404
H2O4-A	H2O4-A	1	H2O4-A_S189_L001_R1_001.fastq.gz	H2O4-A_S189_L001_R2_001.fastq.gz	3096	3096	3046	3046	706	706	528	528	528	528
H2O4-B	H2O4-B	1	H2O4-B_S379_L001_R1_001.fastq.gz	H2O4-B_S379_L001_R2_001.fastq.gz	621	621	607	607	386	386	277	277	277	277
H2O4-C	H2O4-C	1	H2O4-C_S569_L001_R1_001.fastq.gz	H2O4-C_S569_L001_R2_001.fastq.gz	28144	28144	27821	27821	27187	27187	26763	26763	26713	26713
STURG1-A	STURG1-A	1	STURG1-A_S96_L001_R1_001.fastq.gz	STURG1-A_S96_L001_R2_001.fastq.gz	27356	27356	26658	26658	26201	26201	25566	25566	25553	25553
STURG1-B	STURG1-B	1	STURG1-B_S286_L001_R1_001.fastq.gz	STURG1-B_S286_L001_R2_001.fastq.gz	24630	24630	23998	23998	23573	23573	23075	23075	23057	23057
STURG1-C	STURG1-C	1	STURG1-C_S476_L001_R1_001.fastq.gz	STURG1-C_S476_L001_R2_001.fastq.gz	6138	6138	5792	5792	740	740	308	308	308	308
STURG2-A	STURG2-A	1	STURG2-A_S190_L001_R1_001.fastq.gz	STURG2-A_S190_L001_R2_001.fastq.gz	10743	10743	10565	10565	10365	10365	10216	10216	10216	10216
STURG2-B	STURG2-B	1	STURG2-B_S380_L001_R1_001.fastq.gz	STURG2-B_S380_L001_R2_001.fastq.gz	18326	18326	18021	18021	17770	17770	17598	17598	17598	17598
STURG2-C	STURG2-C	1	STURG2-C_S570_L001_R1_001.fastq.gz	STURG2-C_S570_L001_R2_001.fastq.gz	6667	6667	6610	6610	237	237	77	77	77	77
